ASN,numIPs,numMineCraftServers,percentage
AS214996,3584,14,0.3906
AS215027,1024,14,1.3672
AS216127,7680,14,0.1823
AS23889,2307072,14,0.0006
AS26253,33536,14,0.0417
AS26347,176128,14,0.0079
AS30083,81408,14,0.0172
AS30432,28416,14,0.0493
AS3308,317440,14,0.0044
AS35706,70656,14,0.0198
AS36149,339456,14,0.0041
AS36223,23552,14,0.0594
AS3842,44800,14,0.0312
AS40545,82176,14,0.0170
AS42708,157985,14,0.0089
AS4847,5234944,14,0.0003
AS50673,68096,14,0.0206
AS553,2716672,14,0.0005
AS13188,414720,13,0.0031
AS133296,71424,13,0.0182
AS13489,2316032,13,0.0006
AS141968,4864,13,0.2673
AS17557,8004096,13,0.0002
AS18371,81664,13,0.0159
AS18450,137984,13,0.0094
AS19331,148736,13,0.0087
AS199654,1280,13,1.0156
AS203380,7680,13,0.1693
AS207790,138240,13,0.0094
AS2110,437760,13,0.0030
AS211381,10496,13,0.1239
AS215232,256,13,5.0781
AS216030,1792,13,0.7254
AS24971,58880,13,0.0221
AS29447,2424832,13,0.0005
AS35179,20480,13,0.0635
AS35699,137728,13,0.0094
AS36012,30208,13,0.0430
AS36231,7936,13,0.1638
AS393442,87808,13,0.0148
AS395748,11520,13,0.1128
AS40237,47616,13,0.0273
AS45177,77312,13,0.0168
AS4648,76800,13,0.0169
AS51184,12800,13,0.1016
AS51896,19968,13,0.0651
AS52053,1536,13,0.8464
AS57494,12544,13,0.1036
AS6400,1530368,13,0.0008
AS9063,74496,13,0.0175
AS9908,2375680,13,0.0005
AS10013,1970944,12,0.0006
AS1133,65536,12,0.0183
AS11556,2351872,12,0.0005
AS12338,667648,12,0.0018
AS12611,57856,12,0.0207
AS134774,59392,12,0.0202
AS13576,194304,12,0.0062
AS136557,22272,12,0.0539
AS136994,39936,12,0.0300
AS16527,75520,12,0.0159
AS17816,3900160,12,0.0003
AS197019,10240,12,0.1172
AS201290,13568,12,0.0884
AS202673,2304,12,0.5208
AS206286,1536,12,0.7812
AS209242,126720,12,0.0095
AS210619,22016,12,0.0545
AS211180,256,12,4.6875
AS215362,768,12,1.5625
AS23404,83456,12,0.0144
AS2607,1051648,12,0.0011
AS27425,55552,12,0.0216
AS29933,123392,12,0.0097
AS31027,285184,12,0.0042
AS3132,203264,12,0.0059
AS31543,36608,12,0.0328
AS32526,768,12,1.5625
AS3258,25088,12,0.0478
AS35847,77824,12,0.0154
AS36556,34816,12,0.0345
AS393458,2048,12,0.5859
AS394838,16896,12,0.0710
AS397373,51456,12,0.0233
AS399282,2560,12,0.4688
AS399898,120576,12,0.0100
AS42675,6912,12,0.1736
AS44066,159744,12,0.0075
AS46293,34304,12,0.0350
AS50821,60416,12,0.0199
AS54290,328192,12,0.0037
AS55933,336640,12,0.0036
AS60377,17408,12,0.0689
AS62214,17664,12,0.0679
AS6661,220160,12,0.0055
AS10838,171520,11,0.0064
AS1103,7220992,11,0.0002
AS12302,1926144,11,0.0006
AS12496,20736,11,0.0530
AS14638,720384,11,0.0015
AS15221,27648,11,0.0398
AS15321,49920,11,0.0220
AS15895,976640,11,0.0011
AS18182,912896,11,0.0012
AS18390,128256,11,0.0086
AS18419,376064,11,0.0029
AS198831,768,11,1.4323
AS199829,256,11,4.2969
AS200845,350208,11,0.0031
AS205714,131072,11,0.0084
AS210893,5376,11,0.2046
AS211557,2304,11,0.4774
AS212531,39936,11,0.0275
AS215664,512,11,2.1484
AS215904,1024,11,1.0742
AS2200,2450432,11,0.0004
AS24164,977152,11,0.0011
AS25921,103168,11,0.0107
AS270824,2304,11,0.4774
AS28126,255488,11,0.0043
AS30764,224512,11,0.0049
AS31122,213760,11,0.0051
AS33616,87808,11,0.0125
AS33796,35328,11,0.0311
AS35007,9984,11,0.1102
AS36103,71680,11,0.0153
AS36903,2437888,11,0.0005
AS36994,1065216,11,0.0010
AS395965,132352,11,0.0083
AS39704,20224,11,0.0544
AS41110,18432,11,0.0597
AS44803,6912,11,0.1591
AS4538,39488260,11,0.0000
AS49544,111104,11,0.0099
AS53508,110848,11,0.0099
AS5413,743168,11,0.0015
AS559,2184960,11,0.0005
AS55900,39936,11,0.0275
AS8468,361728,11,0.0030
AS8680,76800,11,0.0143
AS9136,31488,11,0.0349
AS11847,46080,10,0.0217
AS12334,443392,10,0.0023
AS12355,124160,10,0.0081
AS12709,1053952,10,0.0009
AS12969,336640,10,0.0030
AS13213,239104,10,0.0042
AS135377,170237,10,0.0059
AS13855,26112,10,0.0383
AS138915,178176,10,0.0056
AS141739,108544,10,0.0092
AS142594,5888,10,0.1698
AS18530,75520,10,0.0132
AS19201,50432,10,0.0198
AS197226,13312,10,0.0751
AS198967,63744,10,0.0157
AS200651,5632,10,0.1776
AS205021,768,10,1.3021
AS207143,11008,10,0.0908
AS207592,74496,10,0.0134
AS210079,28160,10,0.0355
AS211339,256,10,3.9062
AS21211,75264,10,0.0133
AS21497,1775360,10,0.0006
AS22379,48128,10,0.0208
AS22709,80384,10,0.0124
AS25472,931584,10,0.0011
AS265919,4352,10,0.2298
AS27665,148736,10,0.0067
AS28343,414720,10,0.0024
AS32613,266240,10,0.0038
AS32668,256,10,3.9062
AS32890,19456,10,0.0514
AS33566,101376,10,0.0099
AS33604,16384,10,0.0610
AS35518,40960,10,0.0244
AS395354,96768,10,0.0103
AS39857,20480,10,0.0488
AS400164,12288,10,0.0814
AS40654,2048,10,0.4883
AS40994,2816,10,0.3551
AS41897,104704,10,0.0096
AS42560,161536,10,0.0062
AS42772,347392,10,0.0029
AS42841,50176,10,0.0199
AS43939,247040,10,0.0040
AS44134,8192,10,0.1221
AS45179,15360,10,0.0651
AS4540,65024,10,0.0154
AS49242,15616,10,0.0640
AS56030,102144,10,0.0098
AS57112,32000,10,0.0312
AS57367,15104,10,0.0662
AS60439,3840,10,0.2604
AS6866,1182208,10,0.0008
AS8402,3175936,10,0.0003
AS8972,132864,10,0.0075
AS9316,1810432,10,0.0006
AS9354,200704,10,0.0050
AS9829,12146432,10,0.0001
AS10835,133376,8,0.0060
AS12097,67328,8,0.0119
AS12824,207104,8,0.0039
AS13000,77056,8,0.0104
AS13156,319488,8,0.0025
AS13170,62464,8,0.0128
AS13189,63232,8,0.0127
AS136258,16128,8,0.0496
AS136907,924160,8,0.0009
AS137702,99584,8,0.0080
AS13999,3250176,8,0.0002
AS14117,894208,8,0.0009
AS14155,49152,8,0.0163
AS14315,16896,8,0.0473
AS15296,21504,8,0.0372
AS17451,125696,8,0.0064
AS17529,135168,8,0.0059
AS17551,35584,8,0.0225
AS18106,79616,8,0.0100
AS18712,113920,8,0.0070
AS19429,2036480,8,0.0004
AS197637,29440,8,0.0272
AS202053,52736,8,0.0152
AS202870,23808,8,0.0336
AS204779,2048,8,0.3906
AS207645,14336,8,0.0558
AS207821,2816,8,0.2841
AS209641,23040,8,0.0347
AS210218,77568,8,0.0103
AS211588,1024,8,0.7812
AS21413,92672,8,0.0086
AS215540,32256,8,0.0248
AS215826,3584,8,0.2232
AS21766,108544,8,0.0074
AS21949,130816,8,0.0061
AS22653,59904,8,0.0134
AS23089,572416,8,0.0014
AS25764,21248,8,0.0377
AS29119,618752,8,0.0013
AS30325,34560,8,0.0231
AS30644,1792,8,0.4464
AS31103,41216,8,0.0194
AS32181,60672,8,0.0132
AS32374,2304,8,0.3472
AS32751,1792,8,0.4464
AS328364,8704,8,0.0919
AS3356,37640928,8,0.0000
AS35467,45056,8,0.0178
AS35470,49664,8,0.0161
AS37153,218112,8,0.0037
AS38424,12288,8,0.0651
AS39421,1536,8,0.5208
AS399334,2304,8,0.3472
AS400304,8448,8,0.0947
AS400427,38912,8,0.0206
AS42611,51456,8,0.0155
AS43341,52736,8,0.0152
AS44133,5632,8,0.1420
AS47887,53504,8,0.0150
AS49375,8192,8,0.0977
AS51132,25344,8,0.0316
AS51396,3584,8,0.2232
AS54198,287744,8,0.0028
AS54614,316672,8,0.0025
AS58466,169216,8,0.0047
AS58610,6144,8,0.1302
AS6147,2628096,8,0.0003
AS62618,70144,8,0.0114
AS6677,140800,8,0.0057
AS8452,16102144,8,0.0000
AS9050,1769728,8,0.0005
AS11448,25088,7,0.0279
AS11961,29184,7,0.0240
AS12301,344064,7,0.0020
AS12759,25600,7,0.0273
AS13127,757504,7,0.0009
AS136523,5376,7,0.1302
AS13807,106752,7,0.0066
AS13886,67840,7,0.0103
AS139180,5120,7,0.1367
AS139648,13824,7,0.0506
AS140220,45824,7,0.0153
AS140885,768,7,0.9115
AS14828,56064,7,0.0125
AS15516,340992,7,0.0021
AS15547,134144,7,0.0052
AS16010,448768,7,0.0016
AS16232,2039808,7,0.0003
AS1653,616960,7,0.0011
AS16717,24832,7,0.0282
AS16863,96000,7,0.0073
AS17488,1010432,7,0.0007
AS17931,20480,7,0.0342
AS17962,1136896,7,0.0006
AS18049,636672,7,0.0011
AS18474,42496,7,0.0165
AS19181,2560,7,0.2734
AS19527,2004736,7,0.0003
